problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,16,7490.526249171491,468.1578905732182,0.3183595000009518,True,20,218,16,0,0,directional_safe,310020,16,6131.52624917149,189.0,1090.0,48.0,32.0,0,0,0,0,16
4,11,10526.286896705004,956.9351724277276,0.1487228000041796,True,31,362,11,0,0,baseline,310021,11,8338.286896705007,323.0,1810.0,33.0,22.0,,,,,
4,11,10311.17886061163,937.3798964192391,0.09488970000529662,True,31,364,11,0,0,directional,310021,11,8113.1788606116315,323.0,1820.0,33.0,22.0,0,0,0,0,0
4,11,10328.253680686656,938.9321527896959,0.2601152999995975,True,31,364,11,0,0,directional_route,310021,11,8134.253680686657,319.0,1820.0,33.0,22.0,0,0,0,0,0
4,11,10286.505098703556,935.1368271548687,0.26619430001301225,True,31,363,11,0,0,directional_safe,310021,11,8097.505098703556,319.0,1815.0,33.0,22.0,0,0,0,0,11
4,10,11016.388673748286,1101.6388673748286,0.14950669999234378,True,31,362,10,0,0,baseline,310022,10,8834.38867374829,322.0,1810.0,30.0,20.0,,,,,
4,10,10942.499533615159,1094.249953361516,0.08029879999230616,True,31,363,10,0,0,directional,310022,10,8755.499533615159,322.0,1815.0,30.0,20.0,0,0,0,0,0
4,10,9815.4840399775,981.54840399775,0.2556879000039771,True,31,365,10,0,0,directional_route,310022,10,7616.484039977501,324.0,1825.0,30.0,20.0,0,0,0,0,0
4,10,9794.621432579708,979.4621432579709,0.24306849999993574,True,31,365,10,0,0,directional_safe,310022,10,7595.62143257971,324.0,1825.0,30.0,20.0,0,0,0,0,10
4,14,10126.665518257982,723.3332513041415,0.18339429999468848,True,31,273,31,17,3,baseline,310023,14,8407.665518257987,233.0,1365.0,93.0,28.0,,,,,
4,14,10445.844354365872,746.1317395975623,0.12020900000061374,True,31,293,24,10,2,directional,310023,14,8627.844354365876,253.0,1465.0,72.0,28.0,0,0,0,0,0
