candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
116,14,14,True,9,14,,0,0,0,random,28.0,412.16543158959996,217,1085.0,compact21_merge,4421.316042254399,True,True,0,42.0,1,4,0.6261310999980196,35,8,2500027,34,6,6,0,21,194.0,14,5770.3160422544
67,15,14,True,6,14,,1,0,0,random,28.0,435.40472963946314,226,1130.0,tight_merge,4689.666214952485,True,True,0,45.0,2,4,0.5168093999964185,36,9,2500027,48,6,5,0,22,203.0,14,6095.666214952484
27,54,10,True,0,10,,44,2,0,random,20.0,667.246628604172,314,1570.0,compact21,4628.466286041719,True,True,0,162.0,0,4,0.41475480000372045,31,3,2500028,36,5,5,0,21,292.0,10,6672.46628604172
27,54,10,True,4,10,,44,2,0,random,20.0,667.246628604172,314,1570.0,compact21_merge,4628.466286041719,True,True,0,162.0,0,4,0.6419669000024442,31,3,2500028,36,5,5,0,21,292.0,10,6672.46628604172
2,10,10,True,3,10,,0,0,0,random,20.0,591.7845008868715,314,1570.0,tight_merge,4005.8450088687136,True,True,0,30.0,1,4,0.22596479998901486,32,6,2500028,35,4,4,0,22,292.0,10,5917.845008868714
40,20,12,True,0,12,,8,1,0,random,24.0,510.7198564179245,263,1315.0,compact21,4488.638277015093,True,True,0,60.0,0,4,0.30178589999559335,33,6,2500029,26,5,5,0,21,241.0,12,6128.638277015094
40,20,12,True,3,12,,8,1,0,random,24.0,510.7198564179245,263,1315.0,compact21_merge,4488.638277015093,True,True,0,60.0,0,4,0.4585099999967497,33,6,2500029,26,5,5,0,21,241.0,12,6128.638277015094
67,12,12,True,7,12,,0,0,0,random,24.0,529.5098235049728,270,1350.0,tight_merge,4700.117882059673,True,True,0,36.0,1,4,0.5670194000122137,34,9,2500029,40,3,3,0,22,244.0,12,6354.117882059673
0,27,14,True,0,14,,13,2,0,random,28.0,433.9488331962868,240,1200.0,compact21,4546.283664748015,True,True,0,81.0,0,4,0.4100946999969892,35,4,2500030,35,9,8,0,21,220.0,14,6075.283664748015
0,27,14,True,6,14,,13,2,0,random,28.0,433.9488331962868,240,1200.0,compact21_merge,4546.283664748015,True,True,0,81.0,0,4,0.6499297000118531,35,4,2500030,35,9,8,0,21,220.0,14,6075.283664748015
40,95,14,True,6,14,,81,1,0,random,28.0,488.59641943911043,249,1245.0,tight_merge,5055.349872147527,True,True,0,285.0,0,4,0.5151056000031531,36,8,2500030,20,6,5,0,22,227.0,14,6840.349872147546
59,22,11,True,0,11,,11,1,0,random,22.0,554.6869689044288,291,1455.0,compact21,4291.556657948718,True,True,0,66.0,1,4,0.31663670000853017,32,7,2500031,47,3,3,0,21,267.0,11,6101.556657948717
59,22,11,True,6,11,,11,1,0,random,22.0,554.6869689044288,291,1455.0,compact21_merge,4291.556657948718,True,True,0,66.0,1,4,0.5843345999892335,32,7,2500031,47,3,3,0,21,267.0,11,6101.556657948717
40,24,11,True,4,11,,13,2,0,random,22.0,588.4929888943608,301,1505.0,tight_merge,4596.422877837969,True,True,0,72.0,0,4,0.6230529000167735,33,4,2500031,57,5,5,0,22,278.0,11,6473.422877837968
