candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,skipped_known_measurements,stations_visited,switch_s,total,virtual_time_s
240,11,11,True,11,,0,0,3,random,22.0,0.0,309.8531978130392,129,645.0,tour,2586.3851759434315,True,True,25,33.0,3,0.1722472999827005,11,2200008,0,7,122.0,11,3408.385175943431
273,11,11,True,11,,0,0,1,random,22.0,0.0,342.255595895615,115,575.0,select,3029.811554851765,True,True,4,33.0,3,0.17468929997994564,11,2200008,0,7,105.0,11,3764.811554851765
240,11,11,True,11,,0,0,3,random,22.0,0.0,304.39865235849373,119,595.0,tour_select,2586.3851759434315,True,True,15,33.0,3,0.17077149997930974,11,2200008,10,7,112.0,11,3348.385175943431
251,11,11,True,11,,0,0,0,random,22.0,0.0,330.8699205084694,112,560.0,priced,2919.569125593164,True,True,5,33.0,3,0.17202520000864752,11,2200008,0,7,105.0,11,3639.569125593164
397,15,15,True,15,,0,0,5,random,30.0,5.684341886080802e-14,279.18579959151685,115,575.0,baseline,3434.7869938727526,True,True,22,45.0,3,0.2413671999820508,14,2200009,0,7,103.0,15,4187.786993872753
354,15,15,True,15,,0,0,3,random,30.0,5.684341886080802e-14,262.21702776665956,122,610.0,free,3134.2554164998933,True,True,33,45.0,3,0.23310030001448467,13,2200009,0,7,114.0,15,3933.2554164998933
399,15,15,True,15,,0,0,0,random,30.0,0.0,260.8920795104226,117,585.0,tour,3148.3811926563394,True,True,24,45.0,3,0.2508997000113595,15,2200009,0,7,105.0,15,3913.3811926563394
354,15,15,True,15,,0,0,3,random,30.0,5.684341886080802e-14,259.8170277666596,116,580.0,select,3134.2554164998933,True,True,27,45.0,3,0.23392739999690093,13,2200009,6,7,108.0,15,3897.2554164998933
399,15,15,True,15,,0,0,0,random,30.0,0.0,259.6920795104226,114,570.0,tour_select,3148.3811926563394,True,True,21,45.0,3,0.25555280002299696,15,2200009,3,7,102.0,15,3895.3811926563394
399,15,15,True,15,,0,0,0,random,30.0,0.0,259.6920795104226,114,570.0,priced,3148.3811926563394,True,True,21,45.0,3,0.268320599978324,15,2200009,3,7,102.0,15,3895.3811926563394
269,10,10,True,10,,0,0,3,random,20.0,0.0,401.36787680723137,127,635.0,baseline,3211.6787680723137,True,True,8,30.0,3,0.14926190002006479,9,2200010,0,7,117.0,10,4013.6787680723137
216,10,10,True,10,,0,0,3,random,20.0,0.0,339.2290323255073,127,635.0,free,2587.290323255073,True,True,9,30.0,3,0.1320908000052441,9,2200010,0,7,120.0,10,3392.2903232550734
216,10,10,True,10,,0,0,3,random,20.0,0.0,339.2290323255073,127,635.0,tour,2587.290323255073,True,True,9,30.0,3,0.13616279998677783,9,2200010,0,7,120.0,10,3392.2903232550734
216,10,10,True,10,,0,0,3,random,20.0,0.0,337.42903232550736,124,620.0,select,2587.290323255073,True,True,6,30.0,3,0.131903199973749,9,2200010,3,7,117.0,10,3374.2903232550734
216,10,10,True,10,,0,0,3,random,20.0,0.0,337.42903232550736,124,620.0,tour_select,2587.290323255073,True,True,6,30.0,3,0.1370679000101518,9,2200010,3,7,117.0,10,3374.2903232550734
227,10,10,True,10,,0,0,0,random,20.0,0.0,340.6387772636639,117,585.0,priced,2662.387772636639,True,True,2,30.0,3,0.1372370999888517,8,2200010,1,7,109.0,10,3406.3877726366386
341,13,13,True,13,,0,0,2,random,26.0,0.0,285.1531499311248,113,565.0,baseline,2973.990949104623,True,True,17,39.0,3,0.2138003000000026,12,2200011,0,7,103.0,13,3706.9909491046224
341,13,13,True,13,,0,0,0,random,26.0,0.0,291.63902708628785,114,570.0,free,3052.307352121742,True,True,20,39.0,3,0.21899640001356602,13,2200011,0,7,104.0,13,3791.307352121742
296,13,13,True,13,,0,0,0,random,26.0,0.0,266.3767938774757,116,580.0,tour,2707.8983204071837,True,True,24,39.0,3,0.20812699999078177,13,2200011,0,7,110.0,13,3462.8983204071837
342,13,13,True,13,,0,0,0,random,26.0,0.0,288.8697963170571,108,540.0,select,3052.307352121742,True,True,14,39.0,3,0.2210890999995172,13,2200011,6,7,98.0,13,3755.307352121742
296,13,13,True,13,,0,0,0,random,26.0,0.0,264.5306400313218,112,560.0,tour_select,2707.8983204071837,True,True,20,39.0,3,0.2040698000055272,13,2200011,4,7,106.0,13,3438.8983204071837
296,13,13,True,13,,0,0,0,random,26.0,0.0,264.5306400313218,112,560.0,priced,2707.8983204071837,True,True,20,39.0,3,0.21850269997958094,13,2200011,4,7,106.0,13,3438.8983204071837
283,12,12,True,12,,0,0,3,random,24.0,2.842170943040401e-14,316.00617737086094,112,560.0,baseline,3067.07412845033,True,True,14,36.0,3,0.17870750001748092,12,2200012,0,7,105.0,12,3792.074128450331
251,12,12,True,12,,0,0,0,random,24.0,2.842170943040401e-14,306.82876818575903,117,585.0,free,2926.9452182291084,True,True,20,36.0,3,0.17539329998544417,12,2200012,0,7,110.0,12,3681.9452182291084
274,12,12,True,12,,0,0,0,random,24.0,2.842170943040401e-14,297.46474431584585,116,580.0,tour,2820.5769317901495,True,True,27,36.0,3,0.2012176999996882,12,2200012,0,7,109.0,12,3569.57693179015
251,12,12,True,12,,0,0,0,random,24.0,2.842170943040401e-14,305.82876818575903,115,575.0,select,2926.9452182291084,True,True,18,36.0,3,0.18247970001539215,12,2200012,2,7,108.0,12,3669.9452182291084
274,12,12,True,12,,0,0,0,random,24.0,2.842170943040401e-14,294.46474431584585,110,550.0,tour_select,2820.5769317901495,True,True,21,36.0,3,0.18932269999640994,12,2200012,6,7,103.0,12,3533.57693179015
295,12,12,True,12,,0,0,0,random,24.0,4.547473508864641e-13,278.29125516261627,107,535.0,priced,2646.4950619513947,True,True,8,36.0,3,0.19874770002206787,12,2200012,0,7,98.0,12,3339.495061951395
354,15,15,True,15,,0,0,9,random,30.0,5.684341886080802e-14,297.9197070720855,121,605.0,baseline,3677.795606081281,True,True,27,45.0,3,0.23367109999526292,15,2200013,0,7,111.0,15,4468.795606081282
321,15,15,True,15,,0,0,9,random,30.0,5.684341886080802e-14,288.45839501746303,141,705.0,free,3416.875925261945,True,True,49,45.0,3,0.2444979999854695,15,2200013,0,7,130.0,15,4326.875925261946
362,15,15,True,15,,0,0,2,random,30.0,0.0,260.1488231716357,125,625.0,tour,3086.232347574535,True,True,34,45.0,3,0.22430030000396073,14,2200013,0,7,116.0,15,3902.232347574535
321,15,15,True,15,,0,0,9,random,30.0,5.684341886080802e-14,282.05839501746306,125,625.0,select,3416.875925261945,True,True,33,45.0,3,0.23986430000513792,15,2200013,16,7,114.0,15,4230.875925261946
362,15,15,True,15,,0,0,2,random,30.0,0.0,257.7488231716357,119,595.0,tour_select,3086.232347574535,True,True,28,45.0,3,0.22385499998927116,14,2200013,6,7,110.0,15,3866.232347574535
378,15,15,True,15,,0,0,3,random,30.0,0.0,264.0815049928342,111,555.0,priced,3231.2225748925134,True,True,16,45.0,3,0.26982240000506863,14,2200013,6,7,100.0,15,3961.222574892513
348,14,14,True,14,,0,0,1,random,28.0,2.2737367544323206e-13,283.30800426125734,104,520.0,baseline,3282.3120596576027,True,True,3,42.0,3,0.19193380000069737,14,2200014,0,7,94.0,14,3966.3120596576027
348,14,14,True,14,,0,0,0,random,28.0,2.2737367544323206e-13,265.1240760331719,105,525.0,free,3020.737064464406,True,True,4,42.0,3,0.19211830000858754,14,2200014,0,7,96.0,14,3711.737064464406
319,14,14,True,14,,0,0,1,random,28.0,0.0,251.51524386377437,117,585.0,tour,2758.2134140928415,True,True,21,42.0,3,0.20130680000875145,12,2200014,0,7,108.0,14,3521.213414092841
348,14,14,True,14,,0,0,0,random,28.0,2.2737367544323206e-13,264.69550460460044,104,520.0,select,3020.737064464406,True,True,3,42.0,3,0.19398919999366626,14,2200014,1,7,95.0,14,3705.737064464406
319,14,14,True,14,,0,0,1,random,28.0,0.0,248.9438152923458,111,555.0,tour_select,2758.2134140928415,True,True,15,42.0,3,0.20963379999739118,12,2200014,6,7,102.0,14,3485.213414092841
329,14,14,True,14,,0,0,2,random,28.0,0.0,250.126311618154,117,585.0,priced,2738.7683626541566,True,True,11,42.0,3,0.21535140002379194,14,2200014,6,7,108.0,14,3501.768362654156
279,13,13,True,13,,0,0,6,random,26.0,0.0,319.7390290295882,116,580.0,baseline,3402.607377384646,True,True,18,39.0,3,0.16301920000114478,12,2200015,0,7,109.0,13,4156.6073773846465
251,13,13,True,13,,0,0,3,random,26.0,0.0,294.4663124573019,120,600.0,free,3048.0620619449246,True,True,22,39.0,3,0.17365289997542277,12,2200015,0,7,115.0,13,3828.0620619449246
239,13,13,True,13,,0,0,3,random,26.0,0.0,277.69910397464594,119,595.0,tour,2835.0883516703975,True,True,22,39.0,3,0.16693270002724603,12,2200015,0,7,115.0,13,3610.0883516703975
251,13,13,True,13,,0,0,3,random,26.0,0.0,291.2355432265327,113,565.0,select,3048.0620619449246,True,True,15,39.0,3,0.17321060001268052,12,2200015,7,7,108.0,13,3786.0620619449246
239,13,13,True,13,,0,0,3,random,26.0,0.0,274.4683347438767,112,560.0,tour_select,2835.0883516703975,True,True,15,39.0,3,0.16664270000183024,12,2200015,7,7,108.0,13,3568.0883516703975
237,13,13,True,13,,0,0,1,random,26.0,0.0,276.30774958525086,107,535.0,priced,2889.000744608261,True,True,10,39.0,3,0.1705859999929089,13,2200015,2,7,103.0,13,3592.000744608261
286,10,10,True,10,,0,0,5,random,20.0,1.1368683772161603e-13,398.98782697605526,123,615.0,baseline,3214.878269760553,True,True,15,30.0,3,0.17707659999723546,9,2200016,0,7,110.0,10,3989.8782697605525
241,10,10,True,10,,0,0,0,random,20.0,1.1368683772161603e-13,356.7367674503374,124,620.0,free,2781.367674503375,True,True,21,30.0,3,0.16036810001241975,9,2200016,0,7,116.0,10,3567.3676745033745
229,10,10,True,10,,0,0,1,random,20.0,0.0,332.23336498839797,122,610.0,tour,2547.3336498839794,True,True,16,30.0,3,0.15872209999361075,9,2200016,0,7,115.0,10,3322.3336498839794
241,10,10,True,10,,0,0,0,random,20.0,1.1368683772161603e-13,353.7367674503375,119,595.0,select,2781.367674503375,True,True,16,30.0,3,0.16166700000758283,9,2200016,5,7,111.0,10,3537.367674503375
229,10,10,True,10,,0,0,1,random,20.0,0.0,330.43336498839795,119,595.0,tour_select,2547.3336498839794,True,True,13,30.0,3,0.15929499999037944,9,2200016,3,7,112.0,10,3304.3336498839794
229,10,10,True,10,,0,0,1,random,20.0,0.0,330.43336498839795,119,595.0,priced,2547.3336498839794,True,True,13,30.0,3,0.1663639000034891,9,2200016,3,7,112.0,10,3304.3336498839794
406,15,15,True,15,,0,0,4,random,30.0,0.0,351.80366406359377,118,590.0,baseline,4505.054960953906,True,True,18,45.0,3,0.23396939999656752,14,2200017,0,7,107.0,15,5277.054960953907
353,15,15,True,15,,0,0,3,random,30.0,0.0,255.56720357101474,118,590.0,free,3059.508053565221,True,True,18,45.0,3,0.21779770002467558,14,2200017,0,7,109.0,15,3833.508053565221
352,15,15,True,15,,0,0,1,random,30.0,2.2737367544323206e-13,227.88076044740293,107,535.0,tour,2710.211406711045,True,True,13,45.0,3,0.22042599998530932,15,2200017,0,7,98.0,15,3418.211406711044
353,15,15,True,15,,0,0,3,random,30.0,0.0,254.36720357101473,115,575.0,select,3059.508053565221,True,True,15,45.0,3,0.21560460000182502,14,2200017,3,7,106.0,15,3815.508053565221
352,15,15,True,15,,0,0,1,random,30.0,2.2737367544323206e-13,227.48076044740296,106,530.0,tour_select,2710.211406711045,True,True,12,45.0,3,0.21949529999983497,15,2200017,1,7,97.0,15,3412.211406711044
352,15,15,True,15,,0,0,1,random,30.0,2.2737367544323206e-13,227.48076044740296,106,530.0,priced,2710.211406711045,True,True,12,45.0,3,0.22865730000194162,15,2200017,1,7,97.0,15,3412.211406711044
307,12,12,True,12,,0,0,1,random,24.0,2.2737367544323206e-13,308.98071804980054,118,590.0,baseline,2950.7686165976065,True,True,2,36.0,3,0.17137389999697916,9,2200018,0,7,107.0,12,3707.7686165976065
307,12,12,True,12,,0,0,1,random,24.0,2.2737367544323206e-13,308.98071804980054,118,590.0,free,2950.7686165976065,True,True,2,36.0,3,0.17382870000437833,9,2200018,0,7,107.0,12,3707.7686165976065
285,12,12,True,12,,0,0,1,random,24.0,0.0,314.27810386459504,124,620.0,tour,2976.3372463751407,True,True,4,36.0,3,0.18220720000681467,11,2200018,0,7,115.0,12,3771.3372463751402
307,12,12,True,12,,0,0,1,random,24.0,2.2737367544323206e-13,308.98071804980054,118,590.0,select,2950.7686165976065,True,True,2,36.0,3,0.17314619998796843,9,2200018,0,7,107.0,12,3707.7686165976065
285,12,12,True,12,,0,0,1,random,24.0,0.0,314.27810386459504,124,620.0,tour_select,2976.3372463751407,True,True,4,36.0,3,0.1798160999896936,11,2200018,0,7,115.0,12,3771.3372463751402
274,12,12,True,12,,0,0,2,random,24.0,0.0,324.30907575746716,125,625.0,priced,3089.708909089606,True,True,6,36.0,3,0.1863907999941148,12,2200018,3,7,117.0,12,3891.708909089606
308,11,11,True,11,,0,0,5,random,22.0,0.0,366.68273313297055,120,600.0,baseline,3270.510064462676,True,True,13,33.0,3,0.18468000000575557,11,2200019,0,7,108.0,11,4033.5100644626764
298,11,11,True,11,,0,0,0,random,22.0,0.0,341.9511097959631,120,600.0,free,2997.462207755594,True,True,13,33.0,3,0.19200090001686476,11,2200019,0,7,109.0,11,3761.462207755594
287,11,11,True,11,,0,0,0,random,22.0,0.0,307.46847128481284,123,615.0,tour,2599.1531841329415,True,True,12,33.0,3,0.19546099999570288,11,2200019,0,7,113.0,11,3382.153184132941
298,11,11,True,11,,0,0,0,random,22.0,0.0,340.31474615959945,117,585.0,select,2997.462207755594,True,True,10,33.0,3,0.1822118000127375,11,2200019,3,7,106.0,11,3743.462207755594
287,11,11,True,11,,0,0,0,random,22.0,0.0,306.3775621939037,121,605.0,tour_select,2599.1531841329415,True,True,10,33.0,3,0.18137170001864433,11,2200019,2,7,111.0,11,3370.153184132941
287,11,11,True,11,,0,0,0,random,22.0,0.0,306.3775621939037,121,605.0,priced,2599.1531841329415,True,True,10,33.0,3,0.19114559999434277,11,2200019,2,7,111.0,11,3370.153184132941
305,13,13,True,13,,0,0,9,random,26.0,2.2737367544323206e-13,323.8079720589958,124,620.0,baseline,3408.503636766946,True,True,27,39.0,3,0.18473009997978806,13,2200020,0,7,116.0,13,4209.503636766945
284,13,13,True,13,,0,0,3,random,26.0,0.0,300.7394356693322,126,630.0,free,3096.612663701318,True,True,28,39.0,3,0.1901048000145238,13,2200020,0,7,118.0,13,3909.612663701318
272,13,13,True,13,,0,0,0,random,26.0,0.0,269.6671052622283,113,565.0,tour,2768.672368408968,True,True,18,39.0,3,0.1815540000097826,13,2200020,0,7,107.0,13,3505.6723684089675
284,13,13,True,13,,0,0,3,random,26.0,0.0,296.20097413087063,116,580.0,select,3096.612663701318,True,True,18,39.0,3,0.1890162999916356,13,2200020,10,7,109.0,13,3850.612663701318
272,13,13,True,13,,0,0,0,random,26.0,0.0,268.2824898776129,110,550.0,tour_select,2768.672368408968,True,True,15,39.0,3,0.1828951999777928,13,2200020,3,7,104.0,13,3487.6723684089675
272,13,13,True,13,,0,0,0,random,26.0,0.0,268.2824898776129,110,550.0,priced,2768.672368408968,True,True,15,39.0,3,0.19024740002350882,13,2200020,3,7,104.0,13,3487.6723684089675
273,12,12,True,12,,0,0,7,random,24.0,0.0,329.81347724434096,109,545.0,baseline,3252.7617269320913,True,True,21,36.0,3,0.17699110001558438,11,2200021,0,7,100.0,12,3957.7617269320913
274,12,12,True,12,,0,0,3,random,24.0,0.0,325.3670415658514,121,605.0,free,3126.404498790217,True,True,33,36.0,3,0.19164350000210106,12,2200021,0,7,113.0,12,3904.404498790217
261,12,12,True,12,,0,0,0,random,24.0,4.547473508864641e-13,282.2036804151641,120,600.0,tour,2611.444164981968,True,True,29,36.0,3,0.18099979998078197,12,2200021,0,7,115.0,12,3386.444164981969
274,12,12,True,12,,0,0,3,random,24.0,0.0,319.3670415658514,109,545.0,select,3126.404498790217,True,True,21,36.0,3,0.19194180000340566,12,2200021,12,7,101.0,12,3832.404498790217
261,12,12,True,12,,0,0,0,random,24.0,4.547473508864641e-13,280.2036804151641,116,580.0,tour_select,2611.444164981968,True,True,25,36.0,3,0.18063139999867417,12,2200021,4,7,111.0,12,3362.444164981969
264,12,12,True,12,,0,0,0,random,24.0,0.0,278.82917516985975,112,560.0,priced,2618.9501020383173,True,True,21,36.0,3,0.20902369997929782,12,2200021,3,7,107.0,12,3345.9501020383173
385,14,14,True,14,,0,0,1,random,28.0,0.0,257.0763912892016,121,605.0,baseline,2817.0694780488225,True,True,5,42.0,3,0.21721430000616238,13,2200022,0,7,107.0,14,3599.069478048822
