kind,seed,mode,ok,error,normal_exit,cleared,total,mean_time_s,max_step_error,measure,clear,failed_clear,fallback
plus,2400019,maintained,True,,True,12,12,277.83777369135026,0.0,121,12,0,0
minus,2400000,baseline,True,,True,15,15,282.67659800440543,4.547473508864641e-13,109,15,0,0
minus,2400000,maintained,True,,True,15,15,257.1038317386298,5.684341886080802e-14,113,15,0,0
minus,2400001,baseline,True,,True,13,13,286.7063469655227,2.2737367544323206e-13,115,13,0,0
minus,2400001,maintained,True,,True,13,13,275.8223709696497,0.0,122,13,0,0
minus,2400002,baseline,True,,True,10,10,360.88641342590284,0.0,121,10,0,0
minus,2400002,maintained,True,,True,10,10,391.4548397711341,5.684341886080802e-14,122,10,0,0
minus,2400003,baseline,True,,True,14,14,338.08106685858087,0.0,127,14,0,0
minus,2400003,maintained,True,,True,14,14,263.8998987918735,0.0,120,14,0,0
minus,2400004,baseline,True,,True,15,15,262.42794248575257,0.0,99,15,0,0
minus,2400004,maintained,True,,True,15,15,260.4873007919246,0.0,123,15,0,0
minus,2400005,baseline,True,,True,13,13,332.5936301864445,0.0,127,13,0,0
minus,2400005,maintained,True,,True,13,13,274.82598887516536,0.0,119,13,0,0
minus,2400006,baseline,True,,True,11,11,356.47058535116173,0.0,122,11,0,0
minus,2400006,maintained,True,,True,11,11,357.1382501461969,4.547473508864641e-13,129,11,0,0
minus,2400007,baseline,True,,True,10,10,345.7875085382061,4.547473508864641e-13,135,10,0,0
minus,2400007,maintained,True,,True,10,10,345.7875085382061,4.547473508864641e-13,135,10,0,0
minus,2400008,baseline,True,,True,14,14,302.68475431212613,0.0,124,14,0,0
minus,2400008,maintained,True,,True,14,14,268.96431631071897,0.0,116,14,0,0
minus,2400009,baseline,True,,True,13,13,290.83215639850573,0.0,136,13,0,0
minus,2400009,maintained,True,,True,13,13,277.52090435356774,0.0,125,13,0,0
minus,2400010,baseline,True,,True,16,16,239.96165702520648,0.0,114,16,0,0
minus,2400010,maintained,True,,True,16,16,230.8544563491614,0.0,110,16,0,0
minus,2400011,baseline,True,,True,10,10,416.5147061305296,2.842170943040401e-14,119,10,0,0
minus,2400011,maintained,True,,True,10,10,327.5646661401874,2.842170943040401e-14,115,10,0,0
minus,2400012,baseline,True,,True,13,13,317.15480896159636,0.0,123,13,0,0
minus,2400012,maintained,True,,True,13,13,285.59480555738935,0.0,118,13,0,0
minus,2400013,baseline,True,,True,10,10,395.4357715901764,0.0,127,10,0,0
minus,2400013,maintained,True,,True,10,10,338.21102376607365,0.0,126,10,0,0
minus,2400014,baseline,True,,True,13,13,340.0157436805569,0.0,127,13,0,0
minus,2400014,maintained,True,,True,13,13,310.62022914709416,0.0,120,13,0,0
minus,2400015,baseline,True,,True,12,12,324.19635753217443,0.0,121,12,0,0
minus,2400015,maintained,True,,True,12,12,284.1642356873345,0.0,114,12,0,0
minus,2400016,baseline,True,,True,11,11,371.8254827488371,1.1368683772161603e-13,127,11,0,0
minus,2400016,maintained,True,,True,11,11,316.28884247186414,1.1368683772161603e-13,122,11,0,0
minus,2400017,baseline,True,,True,12,12,369.26798941992706,0.0,121,12,0,0
minus,2400017,maintained,True,,True,12,12,289.1574682195206,0.0,117,12,0,0
minus,2400018,baseline,True,,True,14,14,347.77241581105034,5.684341886080802e-14,119,14,0,0
minus,2400018,maintained,True,,True,14,14,273.4101639910465,4.547473508864641e-13,116,14,0,0
minus,2400019,baseline,True,,True,12,12,280.62851821903854,2.842170943040401e-14,117,12,0,0
minus,2400019,maintained,True,,True,12,12,278.383886155606,2.842170943040401e-14,119,12,0,0
boundary,2400000,baseline,True,,True,15,15,294.5417195212773,0.0,126,15,0,0
boundary,2400000,maintained,True,,True,15,15,294.5417195212773,0.0,126,15,0,0
boundary,2400001,baseline,True,,True,13,13,327.4836288063865,0.0,126,13,0,0
boundary,2400001,maintained,True,,True,13,13,313.098752071219,0.0,127,13,0,0
boundary,2400002,baseline,True,,True,10,10,365.63883968558486,0.0,134,10,0,0
boundary,2400002,maintained,True,,True,10,10,365.63883968558486,0.0,134,10,0,0
boundary,2400003,baseline,True,,True,14,14,308.716447878374,0.0,127,14,0,0
boundary,2400003,maintained,True,,True,14,14,289.85397327272835,0.0,126,14,0,0
boundary,2400004,baseline,True,,True,15,15,284.8278555165655,0.0,125,15,0,0
boundary,2400004,maintained,True,,True,15,15,267.66080645265305,0.0,126,15,0,0
boundary,2400005,baseline,True,,True,13,13,315.24863200734677,0.0,131,13,0,0
boundary,2400005,maintained,True,,True,13,13,315.24863200734677,0.0,131,13,0,0
boundary,2400006,baseline,True,,True,11,11,349.66844747201316,0.0,133,11,0,0
boundary,2400006,maintained,True,,True,11,11,349.66844747201316,0.0,133,11,0,0
boundary,2400007,baseline,True,,True,10,10,396.4584081777249,0.0,134,10,0,0
boundary,2400007,maintained,True,,True,10,10,396.4584081777249,0.0,134,10,0,0
boundary,2400008,baseline,True,,True,14,14,292.19617103382535,2.2737367544323206e-13,131,14,0,0
boundary,2400008,maintained,True,,True,14,14,292.19617103382535,2.2737367544323206e-13,131,14,0,0
boundary,2400009,baseline,True,,True,13,13,323.8606909550856,0.0,130,13,0,0
boundary,2400009,maintained,True,,True,13,13,323.8606909550856,0.0,130,13,0,0
boundary,2400010,baseline,True,,True,16,16,267.65904103910793,0.0,124,16,0,0
boundary,2400010,maintained,True,,True,16,16,284.03958475844826,2.2737367544323206e-13,128,16,0,0
boundary,2400011,baseline,True,,True,10,10,362.2466837668775,0.0,132,10,0,0
boundary,2400011,maintained,True,,True,10,10,362.2466837668775,0.0,132,10,0,0
boundary,2400012,baseline,True,,True,13,13,320.8753112177247,4.547473508864641e-13,131,13,0,0
boundary,2400012,maintained,True,,True,13,13,320.8753112177247,4.547473508864641e-13,131,13,0,0
boundary,2400013,baseline,True,,True,10,10,393.536651292442,0.0,133,10,0,0
boundary,2400013,maintained,True,,True,10,10,393.536651292442,0.0,133,10,0,0
boundary,2400014,baseline,True,,True,13,13,329.7059630886436,2.2737367544323206e-13,127,13,0,0
boundary,2400014,maintained,True,,True,13,13,310.7394216476164,1.1368683772161603e-13,128,13,0,0
boundary,2400015,baseline,True,,True,12,12,368.7766850369644,0.0,132,12,0,0
boundary,2400015,maintained,True,,True,12,12,295.02991194842247,0.0,124,12,0,0
boundary,2400016,baseline,True,,True,11,11,370.8118988536813,4.547473508864641e-13,133,11,0,0
boundary,2400016,maintained,True,,True,11,11,370.8118988536813,4.547473508864641e-13,133,11,0,0
boundary,2400017,baseline,True,,True,12,12,299.11017542095414,0.0,123,12,0,0
boundary,2400017,maintained,True,,True,12,12,299.11017542095414,0.0,123,12,0,0
boundary,2400018,baseline,True,,True,14,14,285.7302741235937,2.2737367544323206e-13,128,14,0,0
boundary,2400018,maintained,True,,True,14,14,285.7302741235937,2.2737367544323206e-13,128,14,0,0
boundary,2400019,baseline,True,,True,12,12,305.79534700901615,0.0,129,12,0,0
boundary,2400019,maintained,True,,True,12,12,305.79534700901615,0.0,129,12,0,0
