problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,10,2910.9201668029823,291.09201668029823,0.16562319999502506,7,joint_route,117,10,0,0,2165.9201668029827,110.0,585.0,30.0,20.0,231,10,0,5,10,8,15,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482103,10,1.0,950.0,fixed,0
3,True,10,3076.4271198200445,307.64271198200447,0.1446453999960795,7,joint_route,107,10,0,0,2392.427119820045,99.0,535.0,30.0,20.0,173,10,0,10,10,13,15,False,0,0,1,0,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482104,10,1.0,950.0,fixed,0
3,True,12,3037.7513047135394,253.14594205946162,0.1843077999947127,7,joint_route,112,12,0,0,2313.7513047135385,104.0,560.0,36.0,24.0,262,12,0,6,11,6,17,False,0,0,1,0,integrated,original,aggressive,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3482105,12,1.0,950.0,fixed,0
3,True,12,3056.2319005537306,254.68599171281087,0.17303019999235403,7,joint_route,112,12,0,0,2331.231900553731,105.0,560.0,36.0,24.0,250,12,0,5,12,6,16,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482106,12,1.0,950.0,fixed,0
3,True,12,2901.14227436383,241.76185619698583,0.20751530000416096,7,joint_route,111,12,0,0,2185.14227436383,101.0,555.0,36.0,24.0,297,12,0,7,12,7,16,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482107,12,1.0,950.0,fixed,0
3,True,11,2821.138435161004,256.46713046918217,0.15084080000815447,7,joint_route,110,11,0,0,2112.138435161004,104.0,550.0,33.0,22.0,195,11,2,6,10,18,15,False,0,0,1,0,integrated,original,aggressive,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482108,11,1.0,950.0,fixed,0
3,True,12,3188.545059645343,265.71208830377856,0.1982064000039827,7,joint_route,116,12,0,0,2440.5450596453434,108.0,580.0,36.0,24.0,275,12,1,6,12,8,16,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482109,12,1.0,950.0,fixed,0
3,True,16,3340.28957859238,208.76809866202376,0.2223493000055896,7,joint_route,100,16,0,0,2671.2895785923806,89.0,500.0,48.0,32.0,354,16,3,6,15,18,19,False,0,0,1,0,integrated,original,aggressive,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3482110,16,1.0,950.0,fixed,0
3,True,15,3177.7584017112194,211.8505601140813,0.2426912000082666,7,joint_route,103,15,0,0,2495.7584017112194,92.0,515.0,45.0,30.0,345,15,2,9,11,17,19,False,0,0,1,0,integrated,original,aggressive,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3482111,15,1.0,950.0,fixed,0
3,True,15,3251.535362661802,216.76902417745347,0.23060959999565966,7,joint_route,102,15,0,0,2572.535362661802,94.0,510.0,45.0,30.0,310,15,1,12,14,20,20,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482112,15,1.0,950.0,fixed,0
3,True,12,3269.593154654016,272.466096221168,0.19636620000528637,7,joint_route,114,12,0,0,2538.593154654017,101.0,570.0,36.0,24.0,309,12,0,4,11,0,14,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482113,12,1.0,950.0,fixed,0
