problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,10,3771.991071663749,377.1991071663749,0.200778900005389,True,7,109,10,0,0,route,310009,10,3079.99107166375,97.0,545.0,30.0,20.0,284,0,0,0,0
3,10,3742.653031794951,374.2653031794951,0.17497569999250118,True,7,109,10,0,0,safe,310009,10,3050.6530317949514,97.0,545.0,30.0,20.0,284,0,0,0,10
3,10,4536.850749568485,453.68507495684855,0.24902299999666866,True,7,116,10,0,0,joint,310009,10,3800.8507495684853,106.0,580.0,30.0,20.0,281,10,3,8,0
3,10,4514.828935858994,451.4828935858994,0.2473864999919897,True,7,116,10,0,0,joint_safe,310009,10,3778.8289358589927,106.0,580.0,30.0,20.0,281,10,3,8,10
3,11,4162.611209262675,378.4192008420614,0.15933480000239797,True,7,119,11,0,0,baseline,310010,11,3406.611209262675,106.0,595.0,33.0,22.0,,,,,
3,11,3617.43380421975,328.85761856543184,0.1672487000032561,True,7,115,11,0,0,local,310010,11,2881.433804219749,106.0,575.0,33.0,22.0,259,0,0,0,0
3,11,4154.275359109388,377.6613962826716,0.18619959999341518,True,7,108,11,0,0,route,310010,11,3462.2753591093874,97.0,540.0,33.0,22.0,282,0,0,0,0
3,11,4151.521224142358,377.411020376578,0.2239112999959616,True,7,109,11,0,0,safe,310010,11,3454.5212241423583,97.0,545.0,33.0,22.0,294,0,0,0,10
3,11,3968.285000670283,360.75318187911665,0.17660089999844786,True,7,117,11,0,0,joint,310010,11,3220.2850006702834,108.0,585.0,33.0,22.0,283,11,2,13,0
3,11,3937.425900895459,357.94780917231446,0.18660190000082366,True,7,117,11,0,0,joint_safe,310010,11,3189.4259008954596,108.0,585.0,33.0,22.0,283,11,2,13,11
3,10,3597.961637983405,359.7961637983405,0.1506059999956051,True,7,109,10,0,0,baseline,310011,10,2904.9616379834056,98.0,545.0,30.0,20.0,,,,,
3,10,3416.812998302109,341.6812998302109,0.2203107999957865,True,7,108,10,0,0,local,310011,10,2728.812998302109,98.0,540.0,30.0,20.0,260,0,0,0,0
3,10,3368.588431627486,336.8588431627486,0.24145000000135042,True,7,105,10,0,0,route,310011,10,2699.588431627486,94.0,525.0,30.0,20.0,272,0,0,0,0
3,10,3358.935056031005,335.8935056031005,0.2122294000000693,True,7,105,10,0,0,safe,310011,10,2689.935056031005,94.0,525.0,30.0,20.0,272,0,0,0,8
3,10,3431.0863715007513,343.10863715007514,0.15537829999811947,True,7,107,10,0,0,joint,310011,10,2748.0863715007513,98.0,535.0,30.0,20.0,250,10,0,4,0
3,10,3409.128607908729,340.9128607908729,0.18204640000476502,True,7,107,10,0,0,joint_safe,310011,10,2726.128607908729,98.0,535.0,30.0,20.0,250,10,0,4,9
3,13,4621.7010581971,355.5154660151615,0.25317599999834783,True,7,102,13,0,0,baseline,310012,13,3964.7010581971,82.0,510.0,39.0,26.0,,,,,
3,13,3831.4135313763995,294.7241177981846,0.26960390000022016,True,7,96,13,0,0,local,310012,13,3204.413531376399,82.0,480.0,39.0,26.0,362,0,0,0,0
3,13,4369.964325876562,336.15110199050474,0.21451589999196585,True,7,103,13,0,0,route,310012,13,3700.964325876562,89.0,515.0,39.0,26.0,363,0,0,0,0
3,13,4274.05009584422,328.7730842957092,0.25706069999432657,True,7,103,13,0,0,safe,310012,13,3605.05009584422,89.0,515.0,39.0,26.0,363,0,0,0,13
3,13,3420.171495493912,263.09011503799326,0.2663272999925539,True,7,122,13,0,0,joint,310012,13,2633.171495493913,112.0,610.0,39.0,26.0,320,13,6,20,0
3,13,3436.5105959128946,264.3469689163765,0.3014189000095939,True,7,122,13,0,0,joint_safe,310012,13,2649.5105959128946,112.0,610.0,39.0,26.0,320,13,6,20,13
3,15,4412.8710028693895,294.19140019129264,0.2782083999918541,True,7,97,15,0,0,baseline,310013,15,3772.8710028693886,80.0,485.0,45.0,30.0,,,,,
3,15,3821.7463726668007,254.78309151112003,0.2955227000056766,True,7,94,15,0,0,local,310013,15,3196.7463726668007,80.0,470.0,45.0,30.0,407,0,0,0,0
