arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,sources,stations_visited,switch_s,virtual_time_s,wall_s
default,261,12,12,True,12,0,0,2,24.0,285.763382354191,123,615.0,2639.1605882502913,0,0,0,True,8,36.0,3,0.1727346999978181,15,11,joint_route,3000065,2,12,7,115.0,3429.1605882502918,0.17279200001212303
negative,273,12,12,True,12,0,0,2,24.0,284.71273454961005,124,620.0,2621.5528145953203,88,91,0,True,8,36.0,3,0.1796969999995781,15,10,joint_route,3000065,2,12,7,115.0,3416.552814595321,0.17976980000094045
default,261,11,11,True,11,0,0,1,22.0,326.6135758015155,125,625.0,2796.7493338166696,0,0,0,True,12,33.0,3,0.1757696999993641,14,11,joint_route,3000066,2,11,7,116.0,3592.74933381667,0.17583389999344945
negative,273,11,11,True,11,0,0,1,22.0,326.21637941953446,126,630.0,2787.3801736148794,83,95,0,True,12,33.0,3,0.18397130000812467,14,10,joint_route,3000066,2,11,7,116.0,3588.3801736148794,0.184044299996458
default,344,15,15,True,15,0,0,0,30.0,237.2257634428559,109,545.0,2838.3864516428384,0,0,0,True,18,45.0,3,0.25444879999849945,20,15,joint_route,3000067,11,15,7,100.0,3558.3864516428384,0.25452230000519194
negative,344,15,15,True,15,0,0,0,30.0,237.19782972960567,109,545.0,2837.967445944085,82,64,0,True,18,45.0,3,0.25533900001028087,20,14,joint_route,3000067,11,15,7,100.0,3557.9674459440853,0.25541459998930804
default,401,16,16,True,16,0,0,4,32.0,258.47365750813486,125,625.0,3317.5785201301564,0,0,0,True,25,48.0,3,0.298980899999151,18,16,joint_route,3000068,5,16,7,113.0,4135.578520130158,0.29905000000144355
negative,401,16,16,True,16,0,0,4,32.0,252.18103632202084,125,625.0,3216.8965811523326,133,74,0,True,25,48.0,3,0.30343460000585765,18,16,joint_route,3000068,5,16,7,113.0,4034.8965811523335,0.30351330000848975
default,205,10,10,True,10,0,0,0,20.0,319.0459016924292,125,625.0,2395.459016924292,0,0,0,True,12,30.0,3,0.13958550000097603,15,10,joint_route,3000069,3,10,7,120.0,3190.459016924292,0.13963649999641348
negative,229,10,10,True,10,0,0,0,20.0,320.5569887745099,127,635.0,2400.5698877450973,80,98,0,True,12,30.0,3,0.1651113000116311,15,10,joint_route,3000069,3,10,7,120.0,3205.5698877450986,0.16518050000013318
default,250,12,12,True,12,0,0,1,24.0,287.19872726814737,115,575.0,2702.3847272177677,0,0,0,True,12,36.0,3,0.17022200000064913,14,12,joint_route,3000070,1,12,7,109.0,3446.384727217768,0.17028099999879487
negative,262,12,12,True,12,0,0,1,24.0,291.2041134141106,116,580.0,2745.4493609693272,49,83,0,True,12,36.0,3,0.18249930000456516,14,12,joint_route,3000070,1,12,7,109.0,3494.4493609693272,0.1825745999958599
default,273,12,12,True,12,0,0,2,24.0,331.26087841298335,129,645.0,3149.1305409558,0,0,0,True,14,36.0,3,0.19698520000383724,15,12,joint_route,3000071,6,12,7,121.0,3975.1305409558004,0.197045299995807
negative,285,12,12,True,12,0,0,2,24.0,331.0128341629085,130,650.0,3141.154009954902,91,94,0,True,14,36.0,3,0.20489969999471214,15,11,joint_route,3000071,6,12,7,121.0,3972.154009954902,0.20497249999607448
default,365,16,16,True,16,0,0,3,32.0,250.37308848841903,114,570.0,3251.9694158147045,0,0,0,True,20,48.0,3,0.27395550000073854,19,16,joint_route,3000072,11,16,7,104.0,4005.9694158147045,0.27402310000616126
negative,389,16,16,True,16,0,0,3,32.0,250.0994406426044,116,580.0,3237.5910502816705,107,66,0,True,20,48.0,3,0.28378179999708664,19,16,joint_route,3000072,11,16,7,104.0,4001.5910502816705,0.2838633000064874
default,309,13,13,True,13,0,0,0,26.0,265.1682574950095,117,585.0,2689.187347435124,0,0,0,True,20,39.0,3,0.21528639999451116,18,13,joint_route,3000073,5,13,7,108.0,3447.187347435124,0.21534900000551715
negative,321,13,13,True,13,0,0,0,26.0,261.491478206825,118,590.0,2636.3892166887244,80,79,0,True,20,39.0,3,0.2303581000014674,18,13,joint_route,3000073,5,13,7,108.0,3399.3892166887244,0.23043150000739843
default,239,10,10,True,10,0,0,2,20.0,351.0137385546675,120,600.0,2750.137385546675,0,0,0,True,4,30.0,3,0.1545361999887973,11,9,joint_route,3000074,1,10,7,110.0,3510.137385546675,0.15459599999303464
negative,251,10,10,True,10,0,0,2,20.0,326.0312492208827,121,605.0,2495.312492208827,59,92,0,True,4,30.0,3,0.16641659999731928,11,10,joint_route,3000074,1,10,7,110.0,3260.3124922088273,0.16648800000257324
