absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,sources,stations_visited,switch_s,virtual_time_s,wall_s
0,default,55,0,14,13,True,0,13,0,0,1,0,0,26.0,484.30199171091795,278,1390.0,4580.925892241933,True,0,42.0,0,4,0.1878607000107877,0,0,0,0,38,9,3100055,57,5,4,13,25,257.0,6295.925892241933,0.20378339999297168
0,noclosure,55,0,14,13,True,0,13,0,0,1,0,0,26.0,484.30199171091795,278,1390.0,4580.925892241933,True,0,42.0,0,4,0.18745029999990948,0,0,0,0,38,9,3100055,57,5,4,13,25,257.0,6295.925892241933,0.2033649999939371
0,step,42,0,13,13,True,0,13,0,0,0,0,0,26.0,474.21030755580824,282,1410.0,4426.733998225509,True,0,39.0,0,4,0.18867750000208616,0,0,16,10,48,6,3100055,53,7,7,13,25,263.0,6164.733998225507,0.20470879999629688
0,default,113,0,16,15,True,0,15,0,0,1,0,0,30.0,420.65748243836174,266,1330.0,4662.862236575426,True,0,48.0,1,4,0.2605462999927113,0,0,0,0,40,11,3100056,64,5,4,15,25,239.0,6309.862236575426,0.2771214000094915
0,noclosure,113,0,16,15,True,0,15,0,0,1,0,0,30.0,420.65748243836174,266,1330.0,4662.862236575426,True,0,48.0,1,4,0.2563709999958519,0,0,0,0,40,11,3100056,64,5,4,15,25,239.0,6309.862236575426,0.27314180000394117
0,step,51,0,16,15,True,0,15,0,0,1,0,0,30.0,404.027223138686,262,1310.0,4432.40834708029,True,0,48.0,0,4,0.2029402000043774,0,0,21,13,53,8,3100056,67,8,7,15,25,240.0,6060.40834708029,0.21980279999843333
0,default,53,0,20,16,True,5,16,1,0,4,1,0,32.0,353.6168041463106,227,1135.0,4223.86886634097,True,0,60.0,0,4,0.3345255000022007,0,0,0,0,36,7,3100057,57,10,8,16,20,207.0,5657.868866340969,0.3515660000120988
0,noclosure,53,0,20,16,True,0,16,0,0,4,1,0,32.0,371.8695882548599,243,1215.0,4421.91341207776,True,0,60.0,0,4,0.3389465999935055,0,0,0,0,40,7,3100057,63,10,8,16,24,221.0,5949.913412077758,0.35530570000992157
0,step,39,0,20,16,True,5,16,1,0,4,1,0,32.0,352.49397262560313,225,1125.0,4215.90356200965,True,0,60.0,0,4,0.33155899999837857,0,1,17,10,40,6,3100057,57,11,9,16,20,207.0,5639.90356200965,0.3489234000007855
0,default,32,0,22,12,True,0,12,0,0,10,1,0,24.0,555.0972323557438,315,1575.0,4704.166788268926,True,0,66.0,1,4,0.27577169999131,0,0,0,0,37,9,3100058,22,4,2,12,25,292.0,6661.166788268926,0.2924463000090327
0,noclosure,32,0,22,12,True,0,12,0,0,10,1,0,24.0,555.0972323557438,315,1575.0,4704.166788268926,True,0,66.0,1,4,0.27399299999524374,0,0,0,0,37,9,3100058,22,4,2,12,25,292.0,6661.166788268926,0.2904387000016868
0,step,12,0,13,12,True,0,12,0,0,1,0,0,24.0,518.1210995542069,326,1630.0,4220.453194650482,True,0,39.0,0,4,0.14671800000360236,0,0,9,6,43,3,3100058,62,10,9,12,25,304.0,6217.453194650483,0.16353289999824483
0,default,42,0,12,12,True,0,12,0,0,0,0,0,24.0,525.0598405914513,299,1495.0,4474.718087097416,True,0,36.0,2,4,0.16455310001038015,0,0,0,0,37,7,3100059,54,5,5,12,25,271.0,6300.718087097416,0.18075660000613425
