candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
346,13,13,True,13,,0,0,5,26.0,2.2737367544323206e-13,325.97354716936513,113,565.0,paper,3506.6561132017473,80,True,True,9,39.0,3,0.6264020999951754,13,950014,7,101.0,13,4237.656113201747,0.6264149000053294
373,15,15,True,15,,0,0,2,30.0,1.1368683772161603e-13,262.89368126760866,102,510.0,reference,3267.4052190141288,62,True,True,6,45.0,3,0.35700679999717977,15,950015,7,91.0,15,3943.4052190141297,0.35701459999836516
397,15,15,True,15,,0,0,2,30.0,5.684341886080802e-14,262.8579548022955,102,510.0,paper,3266.8693220344326,62,True,True,6,45.0,3,0.8668694000079995,15,950015,7,91.0,15,3942.8693220344326,0.8668797000136692
258,10,10,True,10,,0,0,3,20.0,0.0,405.8838898468488,129,645.0,reference,3243.8388984684884,102,True,True,10,30.0,3,0.25254109999514185,10,950016,7,120.0,10,4058.838898468488,0.25255299999844283
272,10,10,True,10,,0,0,3,20.0,0.0,404.51753066624667,129,645.0,paper,3230.1753066624665,102,True,True,10,30.0,3,0.5169466999941505,10,950016,7,120.0,10,4045.175306662467,0.5169625999988057
259,10,10,True,10,,0,0,2,20.0,0.0,438.78497838553346,126,630.0,reference,3591.8497838553344,98,True,True,13,30.0,3,0.2513946999970358,10,950017,7,116.0,10,4387.849783855335,0.2514076999941608
268,10,10,True,10,,0,0,2,20.0,1.1368683772161603e-13,434.0450508411698,125,625.0,paper,3549.4505084116977,98,True,True,13,30.0,3,0.5914249000052223,10,950017,7,116.0,10,4340.450508411698,0.591440700009116
291,12,12,True,12,,0,0,3,24.0,0.0,378.18144185276765,120,600.0,reference,3766.177302233212,89,True,True,6,36.0,3,0.2670088000013493,12,950018,7,112.0,12,4538.177302233212,0.2670211000076961
301,12,12,True,12,,0,0,3,24.0,0.0,376.61496113517705,119,595.0,paper,3752.379533622125,89,True,True,6,36.0,3,0.5641258999967249,12,950018,7,112.0,12,4519.379533622125,0.5641371999954572
414,16,16,True,16,,0,0,6,32.0,0.0,342.227353629176,114,570.0,reference,4722.637658066816,72,True,True,16,48.0,3,0.36973580000631046,16,950019,7,103.0,16,5475.637658066816,0.3697476999950595
432,16,16,True,16,,0,0,6,32.0,0.0,340.78088351577486,114,570.0,paper,4699.494136252399,72,True,True,16,48.0,3,0.8411620999977458,16,950019,7,103.0,16,5452.494136252398,0.8411759000009624
