a_m,b_m,score_per_radian
100,100,29295.309719780722
875,50,29326.87177013862
425,75,29407.306159685115
75,100,29932.215258236552
400,75,30133.384484573413
850,50,30298.684409597383
50,100,30574.465590031275
375,75,30864.49113298012
25,100,31222.050936132495
825,50,31266.43075024833
350,75,31600.680332648328
800,50,32230.810579046974
325,75,32341.999160323434
300,75,33088.48794992121
775,50,33192.47386475439
275,75,33840.180684807485
750,50,34152.023724057806
250,75,34597.105374168605
725,50,35110.019239084795
225,75,35359.28441355028
700,50,36066.97812993799
200,75,36126.73492972567
175,75,36899.469110122955
675,50,37023.379286837684
150,75,37677.49451710034
650,50,37979.665167018444
125,75,38460.814387403756
625,50,38936.244061819416
100,75,39249.427917180976
600,50,39893.49223952372
75,75,40043.33053295647
50,75,40842.51414899495
575,50,40851.75596950287
25,75,41646.96741149935
550,50,41811.35343314667
525,50,42772.5765269363
500,50,43735.692562864926
475,50,44700.9458712414
450,50,45668.55931073238
425,50,46638.7356903167
400,50,47611.65910764226
375,50,48587.496208094715
350,50,49566.39736870989
325,50,50548.49781088746
300,50,51533.91864569473
275,50,52522.7678553839
250,50,53515.141214587115
225,50,54511.12315449739
200,50,55510.78757319363
175,50,56514.19859512183
150,50,57521.41128260294
125,50,58532.4723021015
100,50,59547.42054785651
75,50,60566.287725348346
50,50,61589.09889695231
25,50,62615.87299200992
900,25,105196.66832421199
875,25,105213.36939392309
925,25,105254.00447818618
850,25,105296.560034616
825,25,105439.89145580743
800,25,105637.97415436253
775,25,105886.19375624311
750,25,106180.56789995848
725,25,106517.63389314461
700,25,106894.35970596256
950,25,107237.50554714086
675,25,107308.07284781487
650,25,107756.40308119313
625,25,108237.23593809843
600,25,108748.67474029606
575,25,109289.0093657785
550,25,109856.69040583051
525,25,110450.30765864017
500,25,111068.57213362852
475,25,111710.30091485842
450,25,112374.40436588739
425,25,113059.87526228248
400,25,113765.77951907487
375,25,114491.24824411306
350,25,115235.47089862335
325,25,115997.6893863238
300,25,116777.19292445958
275,25,117573.31357587203
250,25,118385.42234201352
225,25,119212.92573371068
975,25,119257.54224216734
200,25,120055.26275024914
175,25,120911.90220863566
150,25,121782.3403741703
125,25,122666.09885112026
100,25,123562.72269863487
75,25,124471.77874231861
50,25,125392.85405628345
25,25,126325.55459418723
