problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,mode,seed,total,normal_exit,strategy,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,belief_decisions,belief_unavailable,route_decisions,planning_time_s
4,14,10659.503892292618,761.3931351637584,0.5883909999975003,True,31,286,29,15,2,scan,720013,14,True,directional_layers_safe,8870.50389229262,244.0,1430.0,87.0,28.0,0,0,0,0,12,0,0,0,0.0
4,14,11582.730078241626,827.3378627315448,1.6708523999986937,True,31,306,32,18,2,combined,720013,14,True,directional_layers_safe,9673.730078241624,255.0,1530.0,96.0,28.0,0,0,0,0,12,41,0,29,0.6488888999592746
4,14,11462.978067121507,818.7841476515362,0.17894840000371914,True,31,329,29,15,1,original,720014,14,True,,,,,,,,,,,,,,,
4,14,9619.032021511484,687.0737158222489,0.3399228999915067,True,31,271,19,5,2,reference,720014,14,True,directional_layers_safe,7950.032021511491,229.0,1355.0,57.0,28.0,0,0,0,0,12,,,,
4,14,9453.518647402518,675.2513319573227,0.7696886000048835,True,31,290,19,5,2,route,720014,14,True,directional_layers_safe,7672.5186474025195,246.0,1450.0,57.0,28.0,0,0,0,0,12,0,0,30,0.0
4,14,9611.752155898086,686.5537254212919,0.6380859000055352,True,31,272,14,0,0,belief,720014,14,True,directional_layers_safe,7952.75215589809,229.0,1360.0,42.0,28.0,0,0,0,0,14,33,0,0,0.49835200008237734
4,14,9619.032021511484,687.0737158222489,0.4120864000142319,True,31,271,19,5,2,scan,720014,14,True,directional_layers_safe,7950.032021511491,229.0,1355.0,57.0,28.0,0,0,0,0,12,0,0,0,0.0
4,14,9391.679710421417,670.8342650301012,1.0151248000038322,True,31,289,14,0,0,combined,720014,14,True,directional_layers_safe,7629.679710421419,247.0,1445.0,42.0,28.0,0,0,0,0,14,32,0,29,0.4616078000399284
4,10,10951.231051627643,1095.1231051627642,0.12756760000775103,True,31,378,21,11,1,original,720015,10,True,,,,,,,,,,,,,,,
4,10,10064.250630783878,1006.4250630783878,0.28555229998892173,True,31,375,18,8,1,reference,720015,10,True,directional_layers_safe,7782.250630783878,333.0,1875.0,54.0,20.0,0,0,0,0,9,,,,
