problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,scenario,seed,strategy,total,normal_exit,max_step_time_error_s,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,13,4453.781417439219,342.5985705722476,0.1864690999937011,True,7,130,13,0,0,boundary_tangent,510001,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4141.691538774627,318.59165682881746,0.2519639000092866,True,7,128,13,0,0,boundary_tangent,510001,joint_safe,13,True,0.0,3320.6915387746253,116.0,640.0,39.0,26.0,340,13,2,0,13
3,13,4453.781417439219,342.5985705722476,0.1945447000034619,True,7,130,13,0,0,boundary_tangent,510002,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4140.691538774627,318.51473375189437,0.26006780000170693,True,7,128,13,0,0,boundary_tangent,510002,joint_safe,13,True,0.0,3320.6915387746253,115.0,640.0,39.0,26.0,340,13,2,0,13
3,13,4454.781417439219,342.6754936491707,0.19348149999859743,True,7,130,13,0,0,boundary_tangent,510003,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4141.691538774627,318.59165682881746,0.2482631000020774,True,7,128,13,0,0,boundary_tangent,510003,joint_safe,13,True,0.0,3320.6915387746253,116.0,640.0,39.0,26.0,340,13,2,0,13
3,15,4784.646231413058,318.9764154275372,0.22263039999234024,True,7,131,15,0,0,boundary_tangent,510004,baseline,15,True,0.0,,,,,,,,,,
3,15,4440.022756733659,296.00151711557726,0.2869178999972064,True,7,127,15,0,0,boundary_tangent,510004,joint_safe,15,True,0.0,3617.022756733658,113.0,635.0,45.0,30.0,396,15,2,0,15
3,15,4782.646231413058,318.84308209420385,0.23757889999251347,True,7,131,15,0,0,boundary_tangent,510005,baseline,15,True,0.0,,,,,,,,,,
3,15,4440.022756733659,296.00151711557726,0.2693187999975635,True,7,127,15,0,0,boundary_tangent,510005,joint_safe,15,True,0.0,3617.022756733658,113.0,635.0,45.0,30.0,396,15,2,0,15
3,13,4453.781417439219,342.5985705722476,0.18967700000212062,True,7,130,13,0,0,boundary_tangent,510006,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4140.691538774627,318.51473375189437,0.24741150000772905,True,7,128,13,0,0,boundary_tangent,510006,joint_safe,13,True,0.0,3320.6915387746253,115.0,640.0,39.0,26.0,340,13,2,0,13
3,15,4783.646231413058,318.9097487608705,0.2548076000093715,True,7,131,15,0,0,boundary_tangent,510007,baseline,15,True,0.0,,,,,,,,,,
3,15,4441.022756733659,296.0681837822439,0.2840754999924684,True,7,127,15,0,0,boundary_tangent,510007,joint_safe,15,True,0.0,3617.022756733658,114.0,635.0,45.0,30.0,396,15,2,0,15
3,12,3813.1422359473463,317.7618529956122,0.18001060000096913,True,7,128,12,0,0,boundary_tangent,510008,baseline,12,True,0.0,,,,,,,,,,
3,12,3614.9505613950314,301.24588011625264,0.1934495000023162,True,7,123,12,0,0,boundary_tangent,510008,joint_safe,12,True,4.547473508864641e-13,2825.950561395032,114.0,615.0,36.0,24.0,270,12,1,0,12
3,11,4307.384757664551,391.5804325149592,0.14059310000448022,True,7,130,11,0,0,boundary_tangent,510009,baseline,11,True,0.0,,,,,,,,,,
3,11,4987.644026512755,453.4221842284323,0.20477039999968838,True,7,137,11,0,0,boundary_tangent,510009,joint_safe,11,True,0.0,4119.644026512756,128.0,685.0,33.0,22.0,258,11,6,10,11
3,16,5309.671851127727,331.8544906954829,0.23679850000189617,True,7,130,16,0,0,boundary_tangent,510010,baseline,16,True,0.0,,,,,,,,,,
3,16,4260.6194735366125,266.2887170960383,0.25344300000870135,True,7,125,16,0,0,boundary_tangent,510010,joint_safe,16,True,0.0,3443.619473536612,112.0,625.0,48.0,32.0,418,16,2,0,16
3,14,4653.290804472445,332.3779146051747,0.19713460000639316,True,7,131,14,0,0,boundary_tangent,510011,baseline,14,True,0.0,,,,,,,,,,
3,14,4293.260293987111,306.66144957050795,0.27038239999092184,True,7,128,14,0,0,boundary_tangent,510011,joint_safe,14,True,1.1368683772161603e-13,3468.2602939871126,115.0,640.0,42.0,28.0,374,14,2,0,14
3,11,4653.855493601189,423.0777721455626,0.2857524999999441,True,7,104,11,0,0,grid_and_near,510000,baseline,11,True,0.0,,,,,,,,,,
3,11,3472.5518824883193,315.6865347716654,0.21068560000276193,True,7,115,11,0,0,grid_and_near,510000,joint_safe,11,True,0.0,2740.551882488319,102.0,575.0,33.0,22.0,326,10,5,21,10
3,13,5041.389446284496,387.7991881757305,0.36577000000397675,True,7,98,13,0,0,grid_and_near,510001,baseline,13,True,1.1368683772161603e-13,,,,,,,,,,
3,13,3562.527693832699,274.0405918332845,0.2505038999952376,True,7,110,13,0,0,grid_and_near,510001,joint_safe,13,True,4.547473508864641e-13,2852.527693832699,95.0,550.0,39.0,26.0,394,12,6,24,12
3,13,5041.389446284496,387.7991881757305,0.3816480999958003,True,7,98,13,0,0,grid_and_near,510002,baseline,13,True,1.1368683772161603e-13,,,,,,,,,,
3,13,3561.527693832699,273.96366875636147,0.26777739998942707,True,7,110,13,0,0,grid_and_near,510002,joint_safe,13,True,4.547473508864641e-13,2852.527693832699,94.0,550.0,39.0,26.0,394,12,6,24,12
3,13,5041.389446284496,387.7991881757305,0.3859576999966521,True,7,98,13,0,0,grid_and_near,510003,baseline,13,True,1.1368683772161603e-13,,,,,,,,,,
3,13,3562.527693832699,274.0405918332845,0.264926200004993,True,7,110,13,0,0,grid_and_near,510003,joint_safe,13,True,4.547473508864641e-13,2852.527693832699,95.0,550.0,39.0,26.0,394,12,6,24,12
3,15,5424.332430548131,361.6221620365421,0.4894093999901088,True,7,92,15,0,0,grid_and_near,510004,baseline,15,True,4.547473508864641e-13,,,,,,,,,,
3,15,3660.2219906658966,244.01479937772643,0.31278879998717457,True,7,107,15,0,0,grid_and_near,510004,joint_safe,15,True,0.0,2960.2219906658966,90.0,535.0,45.0,30.0,462,14,7,29,14
3,15,5424.332430548131,361.6221620365421,0.4472358000057284,True,7,92,15,0,0,grid_and_near,510005,baseline,15,True,4.547473508864641e-13,,,,,,,,,,
3,15,3660.2219906658966,244.01479937772643,0.29000660000019707,True,7,107,15,0,0,grid_and_near,510005,joint_safe,15,True,0.0,2960.2219906658966,90.0,535.0,45.0,30.0,462,14,7,29,14
3,13,5041.389446284496,387.7991881757305,0.3432306000031531,True,7,98,13,0,0,grid_and_near,510006,baseline,13,True,0.0,,,,,,,,,,
3,13,3570.831867338196,274.67937441063043,0.2840645000105724,True,7,110,13,0,0,grid_and_near,510006,joint_safe,13,True,0.0,2861.831867338196,94.0,550.0,39.0,26.0,394,12,6,24,12
3,15,5424.332430548131,361.6221620365421,0.45050439999613445,True,7,92,15,0,0,grid_and_near,510007,baseline,15,True,0.0,,,,,,,,,,
3,15,3675.3726590611113,245.0248439374074,0.327963899995666,True,7,108,15,0,0,grid_and_near,510007,joint_safe,15,True,0.0,2969.372659061112,91.0,540.0,45.0,30.0,462,14,8,30,14
3,12,4846.37776661225,403.86481388435413,0.3348216999875149,True,7,101,12,0,0,grid_and_near,510008,baseline,12,True,5.684341886080802e-14,,,,,,,,,,
3,12,3502.6099535856683,291.8841627988057,0.24140179999812972,True,7,111,12,0,0,grid_and_near,510008,joint_safe,12,True,0.0,2791.609953585669,96.0,555.0,36.0,24.0,360,11,5,21,11
3,11,4653.855493601188,423.0777721455625,0.29525029999786057,True,7,104,11,0,0,grid_and_near,510009,baseline,11,True,9.094947017729282e-13,,,,,,,,,,
3,11,3443.7014832934296,313.0637712084936,0.20849390000512358,True,7,112,11,0,0,grid_and_near,510009,joint_safe,11,True,0.0,2729.70148329343,99.0,560.0,33.0,22.0,326,10,4,18,10
