absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step2,50,0,15,14,True,0,14,0,0,1,0,0,28.0,0.0,414.4747467177294,259,1295.0,4201.646454048208,True,0,45.0,14,0,4,0.20802029999322258,4,0,16,10,49,6,1910019,57,9,8,25,233.0,5802.646454048211,0.22520729999814648
0,step1,42,0,16,15,True,0,15,0,0,1,0,0,30.0,4.547473508864641e-13,389.90739522921945,293,1465.0,4032.61092843829,True,0,48.0,15,0,4,0.20514340000227094,6,0,19,8,48,9,1910020,50,7,6,25,273.0,5848.610928438292,0.2226334000006318
0,step2,42,0,16,15,True,0,15,0,0,1,0,0,30.0,4.547473508864641e-13,389.90739522921945,293,1465.0,4032.61092843829,True,0,48.0,15,0,4,0.2044875999999931,1,0,19,9,49,9,1910020,50,7,6,25,273.0,5848.610928438292,0.2220242000039434
0,step1,0,0,29,15,True,0,15,0,0,14,1,0,30.0,9.094947017729282e-13,393.4708214997087,242,1210.0,4352.062322495632,True,0,87.0,15,0,4,0.3346419000008609,5,1,14,7,47,6,1910021,93,9,8,25,223.0,5902.06232249563,0.35253830000874586
0,step2,0,0,29,15,True,0,15,0,0,14,1,0,30.0,9.094947017729282e-13,393.4708214997087,242,1210.0,4352.062322495632,True,0,87.0,15,0,4,0.33806120000372175,0,1,14,7,47,6,1910021,93,9,8,25,223.0,5902.06232249563,0.3554731000040192
0,step1,0,0,11,10,True,0,10,0,0,1,0,0,20.0,9.094947017729282e-13,597.81730375693,319,1595.0,4034.1730375692996,True,0,33.0,10,0,4,0.12160009999934118,3,0,8,4,39,4,1910022,66,7,6,25,296.0,5978.1730375693,0.13895749999210238
0,step2,0,0,11,10,True,0,10,0,0,1,0,0,20.0,9.094947017729282e-13,597.81730375693,319,1595.0,4034.1730375692996,True,0,33.0,10,0,4,0.12550280000141356,0,0,8,4,39,4,1910022,66,7,6,25,296.0,5978.1730375693,0.14302040000620764
0,step1,0,0,20,14,True,0,14,0,0,6,1,0,28.0,4.547473508864641e-13,426.93478169420365,246,1230.0,4434.086943718851,True,0,60.0,14,0,4,0.18978830000560265,3,1,10,4,42,5,1910023,64,9,8,25,225.0,5977.086943718851,0.20649219999904744
0,step2,0,0,20,14,True,0,14,0,0,6,1,0,28.0,4.547473508864641e-13,426.93478169420365,246,1230.0,4434.086943718851,True,0,60.0,14,0,4,0.1915315000078408,0,1,10,4,42,5,1910023,64,9,8,25,225.0,5977.086943718851,0.21122909999394324
0,step1,24,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,597.2089310903899,322,1610.0,4010.0893109039,True,0,33.0,10,0,4,0.13369210000382736,3,0,10,4,39,5,1910024,33,6,5,25,299.0,5972.089310903899,0.15176170000631828
0,step2,24,0,11,10,True,0,10,0,0,1,0,0,20.0,0.0,597.2089310903899,322,1610.0,4010.0893109039,True,0,33.0,10,0,4,0.13527059998887125,1,0,10,5,40,5,1910024,33,6,5,25,299.0,5972.089310903899,0.1536257999978261
0,step1,13,0,12,12,True,0,12,0,0,0,0,0,24.0,0.0,497.1825875111599,278,1390.0,4263.191050133917,True,0,36.0,12,0,4,0.14033850000123493,4,0,12,5,42,5,1910025,31,7,7,25,253.0,5966.191050133919,0.1578730000037467
0,step2,13,0,12,12,True,0,12,0,0,0,0,0,24.0,0.0,497.1825875111599,278,1390.0,4263.191050133917,True,0,36.0,12,0,4,0.14560609999170993,2,0,12,7,44,5,1910025,31,7,7,25,253.0,5966.191050133919,0.1632960999995703
0,step1,52,0,18,16,True,4,16,1,0,2,0,0,32.0,0.0,366.2124148389851,252,1260.0,4282.398637423763,True,0,54.0,16,0,4,0.22364599999855272,12,0,33,13,42,13,1910026,40,5,3,21,231.0,5859.398637423762,0.24188079999294132
0,step2,26,0,16,16,True,7,16,1,0,0,0,0,32.0,0.0,323.630441961557,225,1125.0,3770.087071384911,True,0,48.0,16,0,4,0.185420099995099,2,0,23,14,40,8,1910026,37,8,8,18,203.0,5178.087071384912,0.20309189999534283
0,step1,26,0,18,16,True,6,16,1,0,2,0,0,32.0,2.842170943040401e-14,335.992421402607,178,890.0,4242.878742441711,True,0,54.0,16,0,4,0.20815540000330657,6,0,22,9,39,9,1910027,54,9,7,19,157.0,5375.878742441712,0.2246407999919029
0,step2,13,0,18,16,True,6,16,1,0,2,0,0,32.0,2.842170943040401e-14,335.6044416786757,177,885.0,4241.67106685881,True,0,54.0,16,0,4,0.19663050000963267,2,0,20,12,41,8,1910027,54,10,8,19,157.0,5369.671066858811,0.2148546999960672
0,step1,15,0,12,12,True,0,12,0,0,0,0,0,24.0,5.684341886080802e-14,489.9607841706329,279,1395.0,4166.529410047595,True,0,36.0,12,0,4,0.14919860000372864,4,0,12,6,43,4,1910028,40,8,8,25,258.0,5879.529410047595,0.16697779999230988
0,step2,15,0,12,12,True,0,12,0,0,0,0,0,24.0,5.684341886080802e-14,489.9607841706329,279,1395.0,4166.529410047595,True,0,36.0,12,0,4,0.15365960000781342,2,0,12,8,45,4,1910028,40,8,8,25,258.0,5879.529410047595,0.17095149999659043
0,step1,25,0,14,11,True,0,11,0,0,3,0,0,22.0,0.0,576.1589399003087,348,1740.0,4213.748338903396,True,0,42.0,11,0,4,0.1568117999995593,6,0,17,9,45,6,1910029,75,8,5,25,320.0,6337.748338903396,0.17422040000383276
0,step2,25,0,14,11,True,0,11,0,0,3,0,0,22.0,0.0,576.1589399003087,348,1740.0,4213.748338903396,True,0,42.0,11,0,4,0.15524140000343323,2,0,17,11,47,6,1910029,75,8,5,25,320.0,6337.748338903396,0.17315810000582132
0,step1,0,0,15,14,True,0,14,0,0,1,0,0,28.0,0.0,450.1072679062008,322,1610.0,4314.501750686812,True,0,45.0,14,0,4,0.13188159999845084,2,0,7,4,43,3,1910030,50,12,11,25,304.0,6301.501750686811,0.1487914000026649
0,step2,0,0,15,14,True,0,14,0,0,1,0,0,28.0,0.0,450.1072679062008,322,1610.0,4314.501750686812,True,0,45.0,14,0,4,0.12879950000206009,0,0,7,4,43,3,1910030,50,12,11,25,304.0,6301.501750686811,0.14674169999489095
0,step1,52,0,27,12,True,0,12,0,0,15,1,0,24.0,9.094947017729282e-13,570.545366437537,320,1600.0,4848.5443972504445,True,0,81.0,12,0,4,0.3337442999909399,8,1,22,10,47,8,1910031,65,5,3,25,293.0,6846.5443972504445,0.35087610001210123
