problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,14,4029.835173248058,287.84536951771844,0.23387199999706354,7,joint_route,122,14,0,0,3240.835173248058,109.0,610.0,42.0,28.0,333,14,2,20,14,4,18,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482013,14,1.0,950.0,fixed,0
3,True,13,3446.802536845678,265.1386566804368,0.9210297999961767,7,joint_route,119,13,0,0,2678.802536845678,108.0,595.0,39.0,26.0,318,13,1,4,12,1,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482014,13,1.0,950.0,fixed,0
3,True,13,3377.085882966326,259.77583715125587,1.1227856999903452,7,joint_route,116,13,0,0,2625.0858829663266,107.0,580.0,39.0,26.0,323,13,0,18,13,2,18,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482015,13,1.0,950.0,fixed,0
3,True,12,3549.6168795968306,295.80140663306923,0.8532524999900488,7,joint_route,114,12,0,0,2813.6168795968306,106.0,570.0,36.0,24.0,254,12,1,23,12,3,17,False,0,0,0,0,integrated,original,off,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3482016,12,1.0,950.0,fixed,0
3,True,16,3972.3890231784817,248.2743139486551,1.0424753000115743,7,joint_route,116,16,0,0,3207.3890231784817,105.0,580.0,48.0,32.0,397,16,1,10,16,1,19,False,0,0,0,0,integrated,original,off,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482017,16,1.0,950.0,fixed,0
3,True,10,3507.843215740431,350.7843215740431,0.6785582000011345,7,joint_route,118,10,0,0,2756.8432157404304,111.0,590.0,30.0,20.0,229,10,0,12,10,2,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482018,10,1.0,950.0,fixed,0
3,True,14,3833.686983656206,273.83478454687184,0.9504182999953628,7,joint_route,119,14,0,0,3057.6869836562055,111.0,595.0,42.0,28.0,320,14,0,17,13,2,19,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482019,14,1.0,950.0,fixed,0
3,True,10,3177.177015461512,317.7177015461512,0.8415799999929732,7,joint_route,121,10,0,0,2410.177015461512,112.0,605.0,30.0,20.0,263,10,0,17,9,3,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482020,10,1.0,950.0,fixed,0
3,True,11,3517.533027458132,319.7757297689211,0.8118435000069439,7,joint_route,117,11,0,0,2771.533027458132,106.0,585.0,33.0,22.0,274,11,0,10,9,1,15,False,0,0,0,0,integrated,original,off,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3482021,11,1.0,950.0,fixed,0
3,True,13,3525.7927246021063,271.2148249693928,0.8621966999926371,7,joint_route,120,13,0,0,2744.7927246021072,116.0,600.0,39.0,26.0,250,13,1,19,13,5,17,False,0,0,0,0,integrated,original,off,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482022,13,1.0,950.0,fixed,0
3,True,12,3525.9397021471855,293.82830851226544,0.9977806999959284,7,joint_route,123,12,0,0,2736.9397021471855,114.0,615.0,36.0,24.0,296,12,0,10,12,2,17,False,0,0,0,0,integrated,original,off,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3482023,12,1.0,950.0,fixed,0
3,True,14,3929.462318054435,280.6758798610311,1.0609903000004124,7,joint_route,117,14,0,0,3167.462318054435,107.0,585.0,42.0,28.0,321,14,5,23,14,15,15,False,0,0,0,0,integrated,original,off,True,0.0,LOCAL_SYNTHETIC,3482024,14,1.0,950.0,fixed,0
