arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,paired_total_sources,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,stations_visited,switch_s,virtual_time_s,wall_s
measure,331,14,14,True,14,0,0,0,28.0,0.0,244.99164929188512,112,560.0,2695.883090086391,72,72,0,True,18,42.0,14,3,0.2920815999968909,19,14,joint_route,995043,3,7,104.0,3429.883090086392,0.2921595000079833
baseline,215,10,10,True,10,0,0,0,20.0,5.684341886080802e-14,335.450738361944,123,615.0,2573.5073836194406,0,0,0,True,2,30.0,10,3,0.18117660000280011,12,10,joint_route,995044,0,7,116.0,3354.50738361944,0.18124140000145417
guard,227,10,10,True,10,0,0,0,20.0,4.547473508864641e-13,313.71165512040807,124,620.0,2351.1165512040807,53,97,0,True,2,30.0,10,3,0.1825479999970412,12,7,joint_route,995044,0,7,116.0,3137.1165512040807,0.18262839999806602
measure,215,10,10,True,10,0,0,0,20.0,4.547473508864641e-13,334.6241443693619,123,615.0,2565.2414436936197,44,97,0,True,2,30.0,10,3,0.17692569999780972,12,9,joint_route,995044,0,7,116.0,3346.2414436936187,0.1769988000014564
baseline,319,14,14,True,14,0,0,1,28.0,4.547473508864641e-13,281.8858561949586,119,595.0,3172.4019867294205,0,0,0,True,15,42.0,14,3,0.27632590000575874,18,13,joint_route,995045,4,7,109.0,3946.4019867294205,0.2763965000049211
guard,319,14,14,True,14,0,0,1,28.0,0.0,269.73955356462227,119,595.0,3002.353749904712,107,80,0,True,15,42.0,14,3,0.2862258999957703,18,13,joint_route,995045,4,7,109.0,3776.3537499047115,0.2863135999941733
measure,319,14,14,True,14,0,0,1,28.0,0.0,269.73955356462227,119,595.0,3002.353749904712,88,80,0,True,15,42.0,14,3,0.2865625000122236,18,13,joint_route,995045,4,7,109.0,3776.3537499047115,0.28669980000995565
baseline,261,12,12,True,12,0,0,0,24.0,0.0,283.1608796829002,108,540.0,2696.9305561948026,0,0,0,True,9,36.0,12,3,0.2292656000063289,17,11,joint_route,995046,2,7,101.0,3397.930556194802,0.22933899999770802
guard,261,12,12,True,12,0,0,0,24.0,0.0,283.1608796829002,108,540.0,2696.9305561948026,56,76,0,True,9,36.0,12,3,0.23571930000616703,17,11,joint_route,995046,2,7,101.0,3397.930556194802,0.2358027000009315
measure,261,12,12,True,12,0,0,0,24.0,0.0,283.1608796829002,108,540.0,2696.9305561948026,44,76,0,True,9,36.0,12,3,0.21723070000007283,17,11,joint_route,995046,2,7,101.0,3397.930556194802,0.2173188000015216
baseline,341,15,15,True,15,0,0,3,30.0,5.684341886080802e-14,246.31023663381484,111,555.0,2961.6535495072226,0,0,0,True,11,45.0,15,3,0.29295509999792557,18,14,joint_route,995047,8,7,103.0,3694.6535495072226,0.2930239000124857
guard,341,15,15,True,15,0,0,3,30.0,5.684341886080802e-14,243.37109166873543,111,555.0,2917.5663750310314,82,68,0,True,11,45.0,15,3,0.313770900000236,18,14,joint_route,995047,8,7,103.0,3650.5663750310314,0.31385940000473056
measure,341,15,15,True,15,0,0,3,30.0,5.684341886080802e-14,246.31023663381484,111,555.0,2961.6535495072226,70,68,0,True,11,45.0,15,3,0.3097475999966264,18,14,joint_route,995047,8,7,103.0,3694.6535495072226,0.3098671000043396
baseline,265,10,10,True,10,0,0,0,20.0,1.1368683772161603e-13,320.01489245368896,121,605.0,2435.1489245368884,0,0,0,True,13,30.0,10,3,0.23376180000195745,15,9,joint_route,995048,2,7,110.0,3200.1489245368894,0.23382610001135617
guard,277,10,10,True,10,0,0,0,20.0,0.0,321.3450955909577,122,610.0,2443.4509559095773,73,88,0,True,13,30.0,10,3,0.2544564999989234,15,10,joint_route,995048,2,7,110.0,3213.4509559095773,0.25453949999064207
measure,265,10,10,True,10,0,0,0,20.0,0.0,319.73827119336215,121,605.0,2432.382711933621,52,88,0,True,13,30.0,10,3,0.24534130000392906,15,9,joint_route,995048,2,7,110.0,3197.3827119336215,0.24542169999040198
baseline,226,12,12,True,12,0,0,1,24.0,2.2737367544323206e-13,303.37769288505666,118,590.0,2876.5323146206792,0,0,0,True,15,36.0,12,3,0.19964819999586325,17,12,joint_route,995049,3,7,114.0,3640.53231462068,0.19971450000593904
guard,260,12,12,True,12,0,0,0,24.0,0.0,289.6372426905656,119,595.0,2707.6469122867866,77,88,0,True,14,36.0,12,3,0.2195685000042431,17,11,joint_route,995049,3,7,113.0,3475.646912286787,0.2196481999999378
measure,238,12,12,True,12,0,0,1,24.0,0.0,300.4196843549971,119,595.0,2836.0362122599654,54,88,0,True,15,36.0,12,3,0.20537969999713823,17,12,joint_route,995049,3,7,114.0,3605.0362122599654,0.20545939999283291
baseline,271,13,13,True,13,0,0,2,26.0,0.0,270.4598782308284,120,600.0,2737.978417000769,0,0,0,True,13,39.0,13,3,0.23176779999630526,17,13,joint_route,995050,2,7,113.0,3515.978417000769,0.23183150000113528
guard,294,13,13,True,13,0,0,1,26.0,0.0,263.39121952058673,113,565.0,2690.0858537676277,76,79,0,True,6,39.0,13,3,0.23191550000046846,16,13,joint_route,995050,2,7,104.0,3424.085853767627,0.2320045999949798
measure,271,13,13,True,13,0,0,2,26.0,0.0,268.68761647385605,120,600.0,2714.939014160129,76,85,0,True,13,39.0,13,3,0.23479079999378882,17,13,joint_route,995050,2,7,113.0,3492.939014160129,0.2348789000097895
