candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
87,11,11,True,0,,0,0,0,22.0,664.341617634842,340,1700.0,patient,5237.757793983261,True,True,0,33.0,3,0.2972946999943815,11,1800018,25,315.0,11,7307.757793983263
107,13,13,True,0,,0,0,0,26.0,502.6033347267913,364,1820.0,merge,4305.843351448288,True,True,0,39.0,5,0.3186510000086855,13,1800019,25,343.0,13,6533.843351448287
107,13,13,True,0,,0,0,0,26.0,485.06487318832984,326,1630.0,select,4305.843351448288,True,True,0,39.0,5,0.31425660000240896,13,1800019,25,305.0,13,6305.843351448288
91,13,13,True,0,,0,0,0,26.0,520.723689297008,318,1590.0,eager,4819.407960861103,True,True,0,39.0,1,0.28858300000138115,13,1800019,25,295.0,13,6769.407960861105
72,13,13,True,0,,0,0,0,26.0,483.726620147837,330,1650.0,patient,4260.446061921882,True,True,0,39.0,1,0.24545589998888317,13,1800019,25,313.0,13,6288.446061921882
73,15,15,True,0,,0,0,0,30.0,458.97679380096565,310,1550.0,merge,4970.651907014483,True,True,0,45.0,3,0.3486057999980403,14,1800020,25,289.0,15,6884.651907014485
73,15,15,True,0,,0,0,0,30.0,450.19778599996346,288,1440.0,select,4970.966789999452,True,True,0,45.0,3,0.34128469999996014,14,1800020,25,267.0,15,6752.966789999452
114,15,15,True,0,,0,0,0,30.0,440.78010587528587,281,1405.0,eager,4876.701588129289,True,True,0,45.0,1,0.37513009998656344,14,1800020,25,255.0,15,6611.701588129288
84,15,15,True,0,,0,0,0,30.0,457.29406548258027,285,1425.0,patient,5098.410982238703,True,True,0,45.0,3,0.369628600004944,14,1800020,25,261.0,15,6859.410982238704
101,14,14,True,0,,0,0,0,28.0,484.3491432384663,364,1820.0,merge,4546.888005338529,True,True,0,42.0,3,0.42103480000514537,14,1800021,25,344.0,14,6780.888005338528
122,14,14,True,0,,0,0,0,28.0,465.0716285732139,321,1605.0,select,4538.002800024995,True,True,0,42.0,5,0.4842287000064971,14,1800021,25,298.0,14,6511.002800024995
89,14,14,True,0,,0,0,0,28.0,470.3773832558,292,1460.0,eager,4785.283365581202,True,True,0,42.0,3,0.4033062000089558,14,1800021,25,270.0,14,6585.2833655812
82,14,14,True,0,,0,0,0,28.0,465.46474161372663,289,1445.0,patient,4735.5063825921725,True,True,0,42.0,3,0.3565186000050744,14,1800021,25,266.0,14,6516.5063825921725
84,11,11,True,0,,0,0,0,22.0,651.3953396755034,349,1745.0,merge,5038.3487364305365,True,True,0,33.0,1,0.31663440000556875,11,1800022,25,327.0,11,7165.348736430537
117,11,11,True,0,,0,0,0,22.0,640.5315514748559,327,1635.0,select,5054.847066223414,True,True,0,33.0,3,0.3570309000060661,11,1800022,25,301.0,11,7045.847066223415
70,11,11,True,0,,0,0,0,22.0,627.6740222295207,335,1675.0,eager,4869.414244524727,True,True,0,33.0,2,0.2689050000044517,11,1800022,25,305.0,11,6904.414244524728
68,11,11,True,0,,0,0,0,22.0,612.2310930089857,315,1575.0,patient,4810.542023098844,True,True,0,33.0,3,0.2738575000112178,11,1800022,25,294.0,11,6734.542023098843
108,11,11,True,0,,0,0,0,22.0,622.0094805491085,370,1850.0,merge,4589.104286040193,True,True,0,33.0,2,0.3053980999975465,11,1800023,25,348.0,11,6842.104286040194
108,11,11,True,0,,0,0,0,22.0,607.8521827328415,344,1720.0,select,4589.374010061256,True,True,0,33.0,2,0.2969463000044925,11,1800023,25,322.0,11,6686.374010061256
115,11,11,True,0,,0,0,0,22.0,606.3899251086776,355,1775.0,eager,4508.289176195451,True,True,0,33.0,2,0.3033854999957839,11,1800023,25,332.0,11,6670.289176195453
46,11,11,True,0,,0,0,0,22.0,664.9285356007965,346,1730.0,patient,5205.213891608761,True,True,0,33.0,4,0.26221119999536313,11,1800023,25,324.0,11,7314.2138916087615
